nSub,nARC,thARC,T_mean,T_SD
3.5,4.5,0.4,0.534973736,0.021345347
1,4.5,0.6,0.191801151,0.013170311
1.25,4.5,0.6,0.233312442,0.01507514
1.5,4.5,0.6,0.272461321,0.016437671
1.75,4.5,0.6,0.309368275,0.017248553
2,4.5,0.6,0.344117731,0.017569457
2.25,4.5,0.6,0.377151905,0.017049707
2.5,4.5,0.6,0.407599217,0.016815426
2.75,4.5,0.6,0.436486656,0.015835855
3,4.5,0.6,0.463684802,0.014413102
3.25,4.5,0.6,0.489209896,0.012683922
3.5,4.5,0.6,0.51317187,0.010638528
1,4.5,0.8,0.313018546,0.141298689
1.25,4.5,0.8,0.362338876,0.146075314
1.5,4.5,0.8,0.403705797,0.144642879
1.75,4.5,0.8,0.438379418,0.138713316
2,4.5,0.8,0.467580697,0.129784448
2.25,4.5,0.8,0.49218772,0.118782133
2.5,4.5,0.8,0.512965861,0.106345582
2.75,4.5,0.8,0.530517292,0.093097491
3,4.5,0.8,0.545331662,0.079418589
3.25,4.5,0.8,0.557757076,0.065799999
1,4.5,1,0.598273377,0.272478148
1.25,4.5,1,0.634214605,0.252813436
1.5,4.5,1,0.655174633,0.228297309
1.75,4.5,1,0.666174359,0.202333015
2,4.5,1,0.670367315,0.176568402
2.25,4.5,1,0.670056114,0.151875189
2.5,4.5,1,0.666459641,0.128693548
2.75,4.5,1,0.660572005,0.107142702
3,4.5,1,0.653134664,0.087346045
3.25,4.5,1,0.644631625,0.069256388
1,2,0,0.999999424,2.02E-06
1,1,0,0.999999424,2.02E-06
1,1,0.2,0.999999297,2.83E-06
1,1,0.4,0.999999321,3.27E-06
1,1,0.6,0.999999651,2.33E-06
1,1,0.8,1,
1,1,1,1,
1,1.25,0,0.999999424,2.02E-06
1,1.25,0.2,0.998897732,0.000434411
1,1.25,0.4,0.99554429,0.0015386
1,1.25,0.6,0.990468365,0.003121168
1,1.25,0.8,0.984407119,0.004874377
1,1.25,1,0.97825467,0.006450372
1,1.5,0,0.999999424,2.02E-06
1,1.5,0.2,0.994174969,0.001886665
1,1.5,0.4,0.977816202,0.006680515
1,1.5,0.6,0.95452087,0.012620595
1,1.5,0.8,0.928851458,0.017696507
1,1.5,1,0.901577489,0.019379245
1,1.75,0,0.999999424,2.02E-06
1,1.75,0.2,0.98418078,0.004882594
1,1.75,0.4,0.94256338,0.016087042
1,1.75,0.6,0.889078752,0.027032065
1,1.75,0.8,0.834891492,0.031967106
1,1.75,1,0.792107804,0.030341993
1,2,0.2,0.967182341,0.009794764
1,2,0.4,0.888097075,0.028793742
1,2,0.6,0.799610591,0.04160133
1,2,0.8,0.723839169,0.041520469
1,2,1,0.675066012,0.031334733
1,2.25,0,0.999999424,2.02E-06
1,2.25,0.2,0.941763469,0.016755609
1,2.25,0.4,0.816596732,0.042379073
1,2.25,0.6,0.696024435,0.050786257
1,2.25,0.8,0.61306474,0.042462748
1,2.25,1,0.571556099,0.023229648
1,2.5,0,0.999999424,2.02E-06
1,2.5,0.2,0.907125756,0.025540595
1,2.5,0.4,0.733601395,0.053962087
1,2.5,0.6,0.594230612,0.053885803
1,2.5,0.8,0.515389219,0.036237508
1,2.5,1,0.491128706,0.014171732
1,2.75,0,0.999999424,2.02E-06
1,2.75,0.2,0.863344745,0.035528222
1,2.75,0.4,0.646106511,0.061456898
1,2.75,0.6,0.501554069,0.051081085
1,2.75,0.8,0.436011667,0.026124803
1,2.75,1,0.434782387,0.023927878
1,3,0,0.999999424,2.02E-06
1,3,0.2,0.81144699,0.045789885
1,3,0.4,0.560560361,0.064210559
1,3,0.6,0.422274619,0.044452338
1,3,0.8,0.375238584,0.015970115
1,3,1,0.401805531,0.047993634
1.25,1,0,0.987770466,6.73E-05
1.25,1,0.2,0.98788265,0.000124825
1.25,1,0.4,0.988090675,0.000220372
1.25,1,0.6,0.988436586,0.000366886
1.25,1,0.8,0.98901168,0.00058686
1.25,1,1,0.98993551,0.000900144
1.25,1.25,0,0.987770466,6.73E-05
1.25,1.25,0.2,0.987921846,0.000143053
